                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                0.86229,                 3.1911,                 0.7546,                 1.0269,                0.91692,                0.63576,                0.77974,                0.68567,                0.82873,                0.57468,                 0.7104,                0.43739,                0.79061,                 3.0415,                0.62498,                0.95015,             9.9208e-05,             9.9208e-05,             9.9208e-05
                     86,                0.86226,                 3.1082,                 0.8079,                 1.0373,                0.91761,                0.62991,                0.77685,                0.68504,                 0.8274,                0.56768,                0.70653,                 0.4368,                0.78836,                 3.0421,                0.62312,                0.94886,             9.8972e-05,             9.8972e-05,             9.8972e-05
                     87,                0.89201,                 3.0874,                0.83517,                 1.0511,                0.92337,                 0.6244,                0.77382,                0.68745,                0.82157,                0.55239,                0.69265,                0.43178,                0.78574,                 3.0376,                0.61179,                0.94823,             9.8737e-05,             9.8737e-05,             9.8737e-05
                     88,                0.82455,                 3.0394,                0.77871,                 1.0255,                0.93979,                0.62587,                0.78234,                 0.6945,                0.83896,                0.55691,                0.70072,                0.44296,                0.78378,                 3.0196,                0.60256,                0.94693,             9.8501e-05,             9.8501e-05,             9.8501e-05
                     89,                0.83469,                 3.0539,                0.81356,                 1.0377,                0.93979,                0.61405,                0.77652,                0.69186,                0.84689,                0.55102,                 0.7005,                0.44681,                 0.7827,                 3.0051,                0.59895,                0.94592,             9.8265e-05,             9.8265e-05,             9.8265e-05
                     90,                0.85953,                 3.1728,                0.79727,                 1.0331,                0.95411,                0.62107,                0.78724,                0.69884,                 0.8476,                0.53953,                0.69507,                0.45203,                0.78534,                 2.9958,                0.59592,                0.94502,              9.803e-05,              9.803e-05,              9.803e-05
                     91,                0.91834,                 3.1568,                0.82068,                 1.0421,                0.92517,                0.60596,                0.76561,                0.68057,                0.83829,                0.54494,                0.69541,                0.44258,                0.78688,                  2.986,                0.59688,                0.94534,             9.7794e-05,             9.7794e-05,             9.7794e-05
                     92,                0.86674,                  3.158,                 0.7963,                 1.0275,                0.94043,                0.60495,                0.77239,                0.68773,                0.86138,                0.55221,                0.70849,                0.44433,                0.78053,                 2.9702,                0.59297,                0.94239,             9.7559e-05,             9.7559e-05,             9.7559e-05
                     93,                0.85485,                 3.0537,                0.78529,                 1.0214,                0.94769,                0.61617,                0.78169,                0.69824,                 0.8728,                0.56374,                0.72163,                0.45229,                 0.7791,                  2.951,                0.59204,                0.94068,             9.7323e-05,             9.7323e-05,             9.7323e-05
                     94,                0.87871,                 3.1038,                0.78872,                 1.0432,                0.95566,                 0.6163,                0.78749,                0.70187,                0.88491,                0.56389,                 0.7292,                0.45751,                0.77691,                 2.9319,                  0.593,                0.93989,             9.7087e-05,             9.7087e-05,             9.7087e-05
                     95,                0.85344,                  2.997,                0.78053,                 1.0369,                0.94027,                 0.6355,                0.78962,                0.70286,                0.87179,                0.58793,                0.73329,                0.46039,                0.77663,                 2.9209,                0.59716,                0.93941,             9.6852e-05,             9.6852e-05,             9.6852e-05
                     96,                0.86635,                 3.1028,                0.75603,                 1.0203,                0.94308,                0.63998,                0.79255,                0.70673,                0.86844,                 0.5846,                0.73181,                0.45693,                0.77468,                 2.9184,                0.60014,                0.93852,             9.6616e-05,             9.6616e-05,             9.6616e-05
                     97,                0.88088,                 3.0821,                0.79506,                 1.0278,                0.95578,                0.65091,                0.80584,                0.72222,                0.89285,                0.60171,                0.75273,                0.47083,                0.77357,                 2.9181,                0.60354,                0.93904,              9.638e-05,              9.638e-05,              9.638e-05
                     98,                0.84541,                 3.0179,                0.76555,                 1.0121,                0.95536,                 0.6486,                0.80489,                0.72311,                 0.8894,                0.60219,                  0.752,                0.47408,                0.77041,                 2.9094,                0.59485,                0.93689,             9.6145e-05,             9.6145e-05,             9.6145e-05
                     99,                0.81988,                 2.9717,                0.76621,                 1.0263,                0.96313,                 0.6523,                0.80858,                0.72632,                0.88472,                0.59751,                0.74822,                0.47732,                  0.772,                 2.8988,                 0.5917,                0.93656,             9.5909e-05,             9.5909e-05,             9.5909e-05
                    100,                0.84113,                 3.0704,                0.78808,                 1.0147,                   0.95,                0.64074,                0.79556,                0.71646,                0.87501,                0.58812,                  0.738,                0.47875,                0.77249,                 2.8911,                0.58136,                0.93632,             9.5674e-05,             9.5674e-05,             9.5674e-05
                    101,                 0.8109,                 2.8941,                 0.7509,                 1.0059,                0.95235,                0.62851,                0.78951,                0.70979,                0.88698,                0.58189,                0.73964,                0.47624,                0.76798,                 2.8862,                0.57611,                0.93461,             9.5438e-05,             9.5438e-05,             9.5438e-05
                    102,                0.87017,                 3.1123,                0.78809,                 1.0237,                 0.9513,                0.62156,                0.78602,                0.70903,                0.90365,                0.59075,                 0.7498,                0.47954,                0.76626,                 2.8822,                0.57705,                0.93336,             9.5202e-05,             9.5202e-05,             9.5202e-05
                    103,                0.85878,                 3.0246,                0.82686,                 1.0082,                0.94559,                0.64329,                0.79628,                0.71572,                0.89257,                0.60563,                0.75414,                0.47696,                0.76883,                 2.8809,                0.58413,                0.93438,             9.4967e-05,             9.4967e-05,             9.4967e-05
